,Airport_code,Airport_name,Airport_address,Airport_description
157,btv,Burlington International Airport,Burlington VT USA,"In 1920, Burlington Municipal Airport opened, honoring and serving the city of Burlington, Vermont."
158,bud,Budapest Liszt Ferenc Nemzetközi Repülőtér,Budapest Hungary,"Still called “Ferihegy” for the surrounding neighborhood, Budapest’s airport was renamed in 2011 to honor Hungarian composer Ferenc Liszt."
159,buf,Buffalo Niagara International Airport,Buffalo NY USA,"Opened in 1926 as Buffalo Municipal, Buffalo Niagara International was rebuilt and renamed in 1997 to honor the oft-visited Niagara Falls."
160,bur,Bob Hope Airport,Burbank CA USA,"Bob Hope Airport has gone by six names since its opening in 1930. It was renamed most recently in 2003 to honor entertainer Bob Hope. Like two of its former names, its code refers to its location in the Los Angeles suburb of BURbank."
161,but,Bathpalathang Airport,Jakar Bhutan,Bathpalathang Airport is located in the city of Jakar. Its three-letter airport code comes from the Bumthang District.
162,bva,Aéroport de Beauvais-Tillé,Beauvais France,"Built during the 1930s, Beauvais-Tillé Airport is located in Tillé and serves Beauvais. It is often referred to as Paris-Beauvais Airport."
163,bvb,Aeroporto International Atlas Brasil Cantanhede,Boa Vista RR Brazil,"Opened in 1973, Atlas Brasil Cantanhede International is named after Atlas Brasil Cantanhede, Brazilian aviation pioneer. Its three-letter code comes from its home in Boa Vista, Brazil."
164,bvc,Aeroporto Internacional Aristides Pereira,Sal Rei Cape Verde,"Originally Rabil Airport, it was renamed in 2011 to honor Cape Verde’s first president, Aristides Pereira. Its code comes from its home on the island of Boa Vista, Cape Verde."
165,bwe,Flughafen Braunschweig-Wolfsburg,Braunschweig Germany,"Located directly at the German Federal Aviation Office and the German Aerospace Center, the Braunschweig Airport mainly serves research flights as well as private business flights for the Volkswagen group, which is a major shareholder."
166,bwi,Baltimore/Washington International Thurgood Marshall Airport,Baltimore MD USA,"Originally Friendship International (perhaps the best airport name ever), Baltimore/Washington International was renamed in 1973 and again in 2005 to honor Thurgood Marshall, former U.S. Supreme Court justice."
167,bwn,Brunei International Airport,Bandar Seri Begawan Brunei,"Opened in 1974, Brunei International serves the country of Brunei and its capital city of Bandar Seri Begawan."
168,byj,Aeroporto de Beja,Beja Portugal,"Originally built in 1964 as a military training center, Beja Airport began serving civilian traffic to Beja in 2011. Its code is completed by the letter ‘Y’, often used as a filler letter."
169,bze,Philip S. W. Goldson International Airport,Belize City Belize,"Philip S. W. Goldson International is named after Philip Stanley Wilberforce Goldson, former Belizean politician. Its airport code comes from its home in Belize City."
170,bzn,Bozeman Yellowstone International Airport,Bozeman MT USA,"In 2005, Gallatin Field was renamed to Bozeman Yellowstone International in honor of the famous national park."
171,bzv,Maya-Maya Airport,Brazzaville Republic of the Congo,"Maya-Maya Airport gets its three-letter code from its home in Brazzaville, the capital city of Republic of Congo."
172,cae,Columbia Metropolitan Airport,Columbia SC USA,"Built in 1940 and originally named Lexington County Airport, Columbia Metropolitan gets its airport code from the nearby city of Cayce."
173,cah,Sân bay Cà Mau,Cà Mau Vietnam,"Originally built in 1962, Ca Mau Airport serves the city of Cà Mau, Vietnam. The ‘H’ comes from Ho Chi Minh City, the only destination the airport serves."
174,cai,Cairo International Airport,Cairo Egypt,"Originally built during World War II and known as Payne Airfield, Egypt’s busiest airport serves the capital city of Cairo."
175,cak,Akron–Canton Airport,Akron OH USA,"Dedicated in 1946, Akron–Canton Airport is actually located in the city of Green, Ohio. Its airport code comes from the nearby cities of Canton and Akron."
176,can,Guangzhou Baiyun International Airport,Guangzhou China,Guangzhou Baiyun International opened in 2004 as a replacement for the 72-year-old airport with the same name. Its airport code comes from Guangzhou’s former English name: Canton.
177,cbb,Aeropuerto Internacional Jorge Wilstermann,Cochabamba Bolivia,Jorge Wilstermann International is named after a famous Bolivian aviator. Its aiport code honors the city of Cochabamba.
178,cbg,Cambridge Airport,Cambridge UK,"Cambridge Airport, briefly known as Marshall Airport Cambridge UK, originally opened in 1938. Its airport code honors its home in the city of Cambridge."
179,cbr,Canberra International Airport,Canberra ACT Australia,"Originally an airstrip built in the 1920s, Canberra International now serves the cities of Canberra and Queanbeyan in New South Wales."
180,ccf,Aéroport de Carcassonne,Carcassonne France,"Sometimes called Salvaza Airport, Carcassonne Airport gets its three-letter code from its home in Carcassonne, France."
181,ccj,Calicut International Airport,Karipur KL India,"Calicut International is named after the city of Kozhikode, Calicut in English. Its code is completed by the letter ‘J’, often used as a filler letter."
182,cck,Cocos (Keeling) Islands Airport,West Island Cocos (Keeling) Islands Australia,"Built during World War II, Cocos (Keeling) Islands Airport is located near Christmas Island in the Indian Ocean and serves the Territory of Cocos (Keeling) Islands."
183,ccp,Aeropuerto Carriel Sur,Concepción Chile,"Opened in 1968, Carriel Sur International is located in the city of Concepción, Chile."
184,ccs,Aeropuerto Internacional de Maiquetia “Simón Bolívar”,Caracas Venezuela,"Often called just “Maiquetía” by locals, Simón Bolívar International is named after the former Venezuelan president. Its airport code stands for Caracas."
185,ccu,Netaji Subhas Chandra Bose International Airport,Kolkata WB India,"Previously Dum Dum Aiport, Netjai Subhas Chandra Bose International was renamed in 1995 to honor the Indian freedom fighter. Its airport code comes from a former spelling of Kolkata: Calcutta."
186,cdc,Cedar City Regional Airport,Cedar City UT USA,"Cedar City Regional gets its three-letter airport code from its home in the city of Cedar City, Utah."
187,cdg,Aéroport de Paris-Charles-de-Gaulle,Paris France,"Renamed and officially opened in 1974, France’s largest airport is named after Charles de Gaulle, former President and founder of the French Fifth Republic."
188,ceb,Paliparang Pandaigdig ng Mactan–Cebu,Cebu Philippines,"First opened in 1956, Mactan–Cebu International is located in Lapu-Lapu City and serves greater Metro Cebu."
189,cek,Chelyabinsk Airport,Chelyabinsk Russia,"With a history dating back to the 1930s, Chelyabinsk Airport began serving international passengers in 1994. Its airport code comes from the city of Chelyabinsk."
190,cfb,Aeroporto Internacional de Cabo Frio,Cabo Frio RJ Brazil,"Inaugurated in 1998, Cabo Frio International is privately operated and serves the city of Cabo Frio, Brazil."
191,cfd,Coulter Field,Bryan TX USA,"Located in the city of Bryan, Coulter Field has a long history of sport parachuting. Many have skydived at Coulter Field, include Texas Governor Rick Perry and former U.S. President George H.W. Bush."
192,cgh,Aeroporto de São Paulo/Congonhas,São Paulo SP Brazil,"São Paulo/Congonhas Airport opened in 1936 and is named after the neighborhood where it’s located, Vila Congonhas."
193,cgk,Bandar Udara Internasional Soekarno–Hatta,Jakarta Indonesia,"Soekarno–Hatta International serves the capital city of Jakarta and honors Indonesia’s first president and vice-president. It receives its code from the Cengkareng district in the city of Tangerang, where it’s located."
194,cgn,Flughafen Köln/Bonn,Cologne Germany,"Cologne Bonn Airport is christened after Konrad Adenauer, Germany’s first Chancellor following World War II, but its airport code comes from its home in Cologne."
195,cgo,Zhengzhou Xinzheng International Airport,Zhengzhou China,"Zhengzhou Xinzheng International is the principal airport serving Zhengzhou, the capital of Henan province, China. Its IATA code ‘CGO’ is derived from Zhengzhou’s former Romanization, Chengchow."
196,cgr,Aeroporto Internacional de Campo Grande,Campo Grande MS Brazil,"Opened in 1953, Campo Grande International is located in the municipality of Antônio João and is often called Antônio João Airport. It serves the city of Campo Grande."
197,cha,Chattanooga Metropolitan Airport,Chattanooga TN USA,"Opened in 1930 as Lovell Field, Chattanooga Metropolitan Airport gets its three-letter code from its home in the city of Chattanooga."
198,chc,Christchurch International Airport,Christchurch New Zealand,"Opened in 1940, Christchurch International became New Zealand’s first international airport in 1950. Located in the suburb of Harewood, its airport code comes from the city of Christchurch."
199,chm,Aeropuerto Teniente FAP Jaime Montreuil Morales,Chimbote Peru,Jaime Montreuil Morales Airport gets its three-letter code from its home in the city of Chimbote.
200,chr,Aéroport de Châteauroux-Centre,Châteauroux France,"Formerly an air base, the airport is now an airline training and maintenance facility located near the town of Châteauroux in central France."
201,chs,Charleston International Airport,Charleston SC USA,"Used as a military airfield during World War II and the Korean War, Charleston International’s airport code comes from its home in Charleston, South Carolina."
202,cia,Ciampino–Aeroporto Internazionale G. B. Pastine,Rome Italy,"Often called just Rome Ciampino Airport, G.B. Pastine International is named after World War I aviator, Giovan Battista Pastine. It serves the city of Rome and is located in Ciampino."
203,cid,The Eastern Iowa Airport,Cedar Rapids IA USA,"Before being renamed in 1997, The Eastern Iowa Airport was known as Cedar Rapids Municipal."
204,cit,Shymkent International Airport,Shymkent Kazakhstan,"In its current location since 1963, Shymkent International gets its three-letter code from the city’s former name of Chimkent."
205,ciu,Chippewa County International Airport,Chippewa County MI USA,"Formerly the Kincheloe Air Force Base, Chippewa County International is located 15 miles south of the central business district of Sault Ste. Marie, Michigan."
206,cix,Aeropuerto Internacional Capitán FAP José Abelardo Quiñones Gonzáles,Chiclayo Peru,"José Abelardo Quiñones Gonzáles International gets its three-letter code from its home in the city of Chiclayo. The code is completed by an ‘X’, often used as a filler letter."
