,Airport_code,Airport_name,Airport_address,Airport_description
848,rov,Aeroport Rostov-na-Donu,Rostov-on-Don Russia,"Originally built in 1925, Rostov-on-Don Airport became an international hub in 1986. Its airport code honors its home near the city of Rostov-on-Don."
849,row,Roswell International Air Center,Roswell NM USA,"Previously named Walker Air Force Base after Medal of Honor winner General Kenneth Walker, Roswell Air Center serves the city of Roswell and is near the location of the 1947 Roswell crash."
850,rpr,Swami Vivekananda International Airport,Raipur CT India,"Formerly known as Mana Airport, Swami Vivekananda International was renamed in 2012 to honor the well-known Indian saint. Its airport code honors the city it serves: Raipur."
851,rrg,Sir Gaëtan Duval Airport,Plaine Corail Mauritius,"Inaugurated as Plaine Corail Airport in 1972, it was renamed in 2007 in honor of Sir Charles Gaëtan Duval for his economic contributions. The only daily flights are between the islands of Mauritius and Rodrigues."
852,rst,Rochester International Airport,Rochester MN USA,"The original Rochester Airport was built in 1928 by the Mayo Foundation. Later renamed to Lobb Field, the airport was closed in 1961 and replaced by the current Rochester International."
853,rsw,Southwest Florida International Airport,Fort Myers FL USA,"Renamed “International” in 1993, Fort Myers’ airport was originally regional only. It takes its airport code from Regional Southwest."
854,rtm,Rotterdam The Hague Airport,Rotterdam Netherlands,"Opened in 1956, Rotterdam Airport was the Netherlands’ second national airport and was built in part to replace Waalhaven Airport, destroyed during World War II. Its code comes from the city of Rotterdam."
855,ruh,King Khalid International Airport,Riyadh Saudi Arabia,"King Khalid International is named after the former Saudi Arabian king who ruled from 1975 to 1982. Its airport code comes from its home in the city of Riyadh, with a ‘U’ as a filler letter."
856,run,Aéroport de la Réunion Roland Garros,Saint-Denis Réunion France,"Roland Garros Airport is named after Roland Garros, French aviator and World War I pilot. It serves Saint-Denis, but gets its airport code from the French island of Réunion."
857,rvn,Rovaniemen lentoasema,Rovaniemi Finland,"Rovaniemi airport, the official airport of Santa Claus, is the third busiest airport in Finland."
858,ryg,"Moss lufthavn, Rygge",Rygge Norway,"Opened in 2007, Moss Airport, Rygge is actually located in the town of Moss, but gets its three-letter code from the nearby city of Rygge."
859,ryk,Shaikh Zayed International Airport,Rahim Yar Khan PB Pakistan,Shaikh Zayed International is named after Zayed bin Sultan Al Nahyan who helped finance the airport’s construction. Its three-letter code honors its home city of Rahim Yar Khan.
860,rze,Port Lotniczy Rzeszów-Jasionka,Rzeszów Poland,"Rzeszów–Jasionka Airport is located in southeastern Poland. Although situated in the village of Jasionka, its airport code comes from the nearby city it serves: Rzeszów."
861,sab,Juancho E. Yrausquin Airport,Saba Netherlands,"The only airport on the Caribbean island of Saba, Juancho E. Yrausquin Airport has the shortest commercial runway in the world at only 396 meters."
862,saf,Santa Fe Municipal Airport,Santa Fe NM USA,"Santa Fe Municipal features three runways and serves the city of Santa Fe, New Mexico."
863,sah,Sana'a International Airport,Sana'a Yemen,"Sana'a International is currently closed due to severe damage sustained by its only runway. Its airport code comes from two of its aliases, Sana'a International and El Rahaba Airport."
864,sal,Aeropuerto Internacional Monseñor Óscar Arnulfo Romero,San Salvador El Salvador,"Renamed in 2014, Monseñor Óscar Arnulfo Romero International honors Óscar Romero, the fourth Archbishop of San Salvador. It was previously named and is still called Comalapa Airport."
865,san,Lindbergh Field,San Diego CA USA,"Following Charles Lindbergh’s historic flight, the city where his plane was built capitalized on public support to build its own airport. Its airport code comes from the city it serves, San Diego."
866,sat,San Antonio International Airport,San Antonio TX USA,"The gateway for south central Texas, San Antonio International was originally known as Alamo Field. Its airport code honors its home in the city of San Antonio, Texas."
867,sav,Savannah/Hilton Head International Airport,Savannah GA USA,"Despite having “International” in its name, Savannah/Hilton Head airport has no scheduled commercial flights outside the U.S. Its airport code comes from its home in the city of Savannah."
868,saw,Sabiha Gökçen Uluslararası Havalimanı,Istanbul Turkey,"Sabiha Gökçen International is named after the first woman combat pilot in Turkey. Its airport code comes from Sabiha’s name, plus a letter ‘W’, often used as a filler letter."
